study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB32839	SAMEA7225826	ERX10611316	ERR11178430	57078	Dicrocoelium dendriticum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/030/ERR11178430/ERR11178430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/030/ERR11178430/ERR11178430_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178430/35207_2#77.cram	
PRJEB32839	SAMEA7225729	ERX10611317	ERR11178431	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/031/ERR11178431/ERR11178431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/031/ERR11178431/ERR11178431_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178431/35207_2#78.cram	
PRJEB32839	SAMEA7225731	ERX10611318	ERR11178432	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/032/ERR11178432/ERR11178432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/032/ERR11178432/ERR11178432_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178432/35207_2#79.cram	
PRJEB32839	SAMEA7225733	ERX10611319	ERR11178433	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/033/ERR11178433/ERR11178433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/033/ERR11178433/ERR11178433_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178433/35207_2#80.cram	
PRJEB32839	SAMEA7225820	ERX10611320	ERR11178434	393876	Schistosoma guineensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/034/ERR11178434/ERR11178434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/034/ERR11178434/ERR11178434_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178434/35207_2#81.cram	
PRJEB32839	SAMEA7225727	ERX10611321	ERR11178435	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/035/ERR11178435/ERR11178435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/035/ERR11178435/ERR11178435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178435/35207_2#82.cram	
PRJEB32839	SAMEA7225827	ERX10611322	ERR11178436	6189	Schistosoma spindale	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/036/ERR11178436/ERR11178436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/036/ERR11178436/ERR11178436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178436/35207_2#83.cram	
PRJEB32839	SAMEA7225735	ERX10611323	ERR11178437	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/037/ERR11178437/ERR11178437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/037/ERR11178437/ERR11178437_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178437/35207_2#84.cram	
PRJEB32839	SAMEA7225829	ERX10611324	ERR11178438	6188	Schistosoma rodhaini	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/038/ERR11178438/ERR11178438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/038/ERR11178438/ERR11178438_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178438/35207_2#85.cram	
PRJEB32839	SAMEA7225736	ERX10611325	ERR11178439	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/039/ERR11178439/ERR11178439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/039/ERR11178439/ERR11178439_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178439/35207_2#86.cram	
PRJEB32839	SAMEA7225832	ERX10611326	ERR11178440	6184	Schistosoma bovis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/040/ERR11178440/ERR11178440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/040/ERR11178440/ERR11178440_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178440/35207_2#87.cram	
PRJEB32839	SAMEA7225739	ERX10611327	ERR11178441	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/041/ERR11178441/ERR11178441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/041/ERR11178441/ERR11178441_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178441/35207_2#88.cram	
PRJEB32839	SAMEA7225833	ERX10611328	ERR11178442	6184	Schistosoma bovis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/042/ERR11178442/ERR11178442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/042/ERR11178442/ERR11178442_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178442/35207_2#89.cram	
PRJEB32839	SAMEA7225743	ERX10611329	ERR11178443	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/043/ERR11178443/ERR11178443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/043/ERR11178443/ERR11178443_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178443/35207_2#90.cram	
