study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB32839	SAMEA7225751	ERX10611188	ERR11178302	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/002/ERR11178302/ERR11178302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/002/ERR11178302/ERR11178302_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178302/35101_2#39.cram	
PRJEB32839	SAMEA7225765	ERX10611189	ERR11178303	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/003/ERR11178303/ERR11178303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/003/ERR11178303/ERR11178303_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178303/35101_2#40.cram	
PRJEB32839	SAMEA7225672	ERX10611190	ERR11178304	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/004/ERR11178304/ERR11178304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/004/ERR11178304/ERR11178304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178304/35101_2#41.cram	
PRJEB32839	SAMEA7225782	ERX10611191	ERR11178305	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/005/ERR11178305/ERR11178305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/005/ERR11178305/ERR11178305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178305/35101_2#42.cram	
PRJEB32839	SAMEA7225688	ERX10611192	ERR11178306	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/006/ERR11178306/ERR11178306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/006/ERR11178306/ERR11178306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178306/35101_2#43.cram	
PRJEB32839	SAMEA7225797	ERX10611193	ERR11178307	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/007/ERR11178307/ERR11178307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/007/ERR11178307/ERR11178307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178307/35101_2#44.cram	
PRJEB32839	SAMEA7225703	ERX10611194	ERR11178308	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/008/ERR11178308/ERR11178308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/008/ERR11178308/ERR11178308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178308/35101_2#45.cram	
PRJEB32839	SAMEA7225813	ERX10611195	ERR11178309	48269	Schistosoma margrebowiei	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/009/ERR11178309/ERR11178309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/009/ERR11178309/ERR11178309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178309/35101_2#46.cram	
PRJEB32839	SAMEA7225718	ERX10611196	ERR11178310	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/010/ERR11178310/ERR11178310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/010/ERR11178310/ERR11178310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178310/35101_2#47.cram	
PRJEB32839	SAMEA7225753	ERX10611197	ERR11178311	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/011/ERR11178311/ERR11178311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/011/ERR11178311/ERR11178311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178311/35101_2#48.cram	
PRJEB32839	SAMEA7225767	ERX10611198	ERR11178312	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/012/ERR11178312/ERR11178312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/012/ERR11178312/ERR11178312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178312/35101_2#49.cram	
PRJEB32839	SAMEA7225674	ERX10611199	ERR11178313	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/013/ERR11178313/ERR11178313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/013/ERR11178313/ERR11178313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178313/35101_2#50.cram	
PRJEB32839	SAMEA7225783	ERX10611200	ERR11178314	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/014/ERR11178314/ERR11178314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/014/ERR11178314/ERR11178314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178314/35101_2#51.cram	
PRJEB32839	SAMEA7225690	ERX10611201	ERR11178315	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/015/ERR11178315/ERR11178315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/015/ERR11178315/ERR11178315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178315/35101_2#52.cram	
PRJEB32839	SAMEA7225798	ERX10611202	ERR11178316	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/016/ERR11178316/ERR11178316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/016/ERR11178316/ERR11178316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178316/35101_2#53.cram	
PRJEB32839	SAMEA7225705	ERX10611203	ERR11178317	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/017/ERR11178317/ERR11178317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/017/ERR11178317/ERR11178317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178317/35101_2#54.cram	
PRJEB32839	SAMEA7225815	ERX10611204	ERR11178318	6188	Schistosoma rodhaini	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/018/ERR11178318/ERR11178318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/018/ERR11178318/ERR11178318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178318/35101_2#55.cram	
PRJEB32839	SAMEA7225721	ERX10611205	ERR11178319	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/019/ERR11178319/ERR11178319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/019/ERR11178319/ERR11178319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178319/35101_2#56.cram	
PRJEB32839	SAMEA7225755	ERX10611206	ERR11178320	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/020/ERR11178320/ERR11178320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/020/ERR11178320/ERR11178320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178320/35101_2#57.cram	
PRJEB32839	SAMEA7225769	ERX10611207	ERR11178321	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/021/ERR11178321/ERR11178321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/021/ERR11178321/ERR11178321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178321/35101_2#58.cram	
PRJEB32839	SAMEA7225677	ERX10611208	ERR11178322	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/022/ERR11178322/ERR11178322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/022/ERR11178322/ERR11178322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178322/35101_2#59.cram	
PRJEB32839	SAMEA7225784	ERX10611209	ERR11178323	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/023/ERR11178323/ERR11178323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/023/ERR11178323/ERR11178323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178323/35101_2#60.cram	
PRJEB32839	SAMEA7225801	ERX10611210	ERR11178324	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/024/ERR11178324/ERR11178324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/024/ERR11178324/ERR11178324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178324/35101_2#61.cram	
PRJEB32839	SAMEA7225707	ERX10611211	ERR11178325	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/025/ERR11178325/ERR11178325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/025/ERR11178325/ERR11178325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178325/35101_2#62.cram	
PRJEB32839	SAMEA7225817	ERX10611212	ERR11178326	6185	Schistosoma haematobium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/026/ERR11178326/ERR11178326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/026/ERR11178326/ERR11178326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178326/35101_2#63.cram	
PRJEB32839	SAMEA7225724	ERX10611213	ERR11178327	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/027/ERR11178327/ERR11178327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/027/ERR11178327/ERR11178327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178327/35101_2#64.cram	
PRJEB32839	SAMEA7225757	ERX10611214	ERR11178328	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/028/ERR11178328/ERR11178328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/028/ERR11178328/ERR11178328_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178328/35101_2#65.cram	
PRJEB32839	SAMEA7225771	ERX10611215	ERR11178329	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/029/ERR11178329/ERR11178329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/029/ERR11178329/ERR11178329_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178329/35101_2#66.cram	
PRJEB32839	SAMEA7225678	ERX10611216	ERR11178330	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/030/ERR11178330/ERR11178330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/030/ERR11178330/ERR11178330_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178330/35101_2#67.cram	
PRJEB32839	SAMEA7225787	ERX10611217	ERR11178331	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/031/ERR11178331/ERR11178331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/031/ERR11178331/ERR11178331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178331/35101_2#68.cram	
PRJEB32839	SAMEA7225692	ERX10611218	ERR11178332	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/032/ERR11178332/ERR11178332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/032/ERR11178332/ERR11178332_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178332/35101_2#69.cram	
PRJEB32839	SAMEA7225804	ERX10611219	ERR11178333	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/033/ERR11178333/ERR11178333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/033/ERR11178333/ERR11178333_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178333/35101_2#70.cram	
PRJEB32839	SAMEA7225709	ERX10611220	ERR11178334	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/034/ERR11178334/ERR11178334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/034/ERR11178334/ERR11178334_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178334/35101_2#71.cram	
PRJEB32839	SAMEA7225819	ERX10611221	ERR11178335	31246	Schistosoma mattheei	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/035/ERR11178335/ERR11178335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/035/ERR11178335/ERR11178335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178335/35101_2#72.cram	
PRJEB32839	SAMEA7225725	ERX10611222	ERR11178336	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/036/ERR11178336/ERR11178336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/036/ERR11178336/ERR11178336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178336/35101_2#73.cram	
PRJEB32839	SAMEA7225740	ERX10611223	ERR11178337	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/037/ERR11178337/ERR11178337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/037/ERR11178337/ERR11178337_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178337/35101_2#74.cram	
PRJEB32839	SAMEA7225823	ERX10611224	ERR11178338	6187	Schistosoma intercalatum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/038/ERR11178338/ERR11178338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/038/ERR11178338/ERR11178338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178338/35101_2#75.cram	
PRJEB32839	SAMEA7225825	ERX10611225	ERR11178339	39320	Heterobilharzia americana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/039/ERR11178339/ERR11178339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/039/ERR11178339/ERR11178339_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178339/35101_2#76.cram	
PRJEB32839	SAMEA7225826	ERX10611226	ERR11178340	57078	Dicrocoelium dendriticum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/040/ERR11178340/ERR11178340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/040/ERR11178340/ERR11178340_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178340/35101_2#77.cram	
PRJEB32839	SAMEA7225729	ERX10611227	ERR11178341	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/041/ERR11178341/ERR11178341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/041/ERR11178341/ERR11178341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178341/35101_2#78.cram	
PRJEB32839	SAMEA7225731	ERX10611228	ERR11178342	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/042/ERR11178342/ERR11178342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/042/ERR11178342/ERR11178342_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178342/35101_2#79.cram	
PRJEB32839	SAMEA7225733	ERX10611229	ERR11178343	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/043/ERR11178343/ERR11178343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/043/ERR11178343/ERR11178343_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178343/35101_2#80.cram	
PRJEB32839	SAMEA7225820	ERX10611230	ERR11178344	393876	Schistosoma guineensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/044/ERR11178344/ERR11178344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/044/ERR11178344/ERR11178344_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178344/35101_2#81.cram	
PRJEB32839	SAMEA7225727	ERX10611231	ERR11178345	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/045/ERR11178345/ERR11178345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/045/ERR11178345/ERR11178345_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178345/35101_2#82.cram	
PRJEB32839	SAMEA7225827	ERX10611232	ERR11178346	6189	Schistosoma spindale	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/046/ERR11178346/ERR11178346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/046/ERR11178346/ERR11178346_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178346/35101_2#83.cram	
PRJEB32839	SAMEA7225735	ERX10611233	ERR11178347	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/047/ERR11178347/ERR11178347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/047/ERR11178347/ERR11178347_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178347/35101_2#84.cram	
PRJEB32839	SAMEA7225829	ERX10611234	ERR11178348	6188	Schistosoma rodhaini	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/048/ERR11178348/ERR11178348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/048/ERR11178348/ERR11178348_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178348/35101_2#85.cram	
PRJEB32839	SAMEA7225736	ERX10611235	ERR11178349	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/049/ERR11178349/ERR11178349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/049/ERR11178349/ERR11178349_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178349/35101_2#86.cram	
PRJEB32839	SAMEA7225832	ERX10611236	ERR11178350	6184	Schistosoma bovis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/050/ERR11178350/ERR11178350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/050/ERR11178350/ERR11178350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178350/35101_2#87.cram	
PRJEB32839	SAMEA7225739	ERX10611237	ERR11178351	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/051/ERR11178351/ERR11178351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/051/ERR11178351/ERR11178351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178351/35101_2#88.cram	
PRJEB32839	SAMEA7225833	ERX10611238	ERR11178352	6184	Schistosoma bovis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/052/ERR11178352/ERR11178352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/052/ERR11178352/ERR11178352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178352/35101_2#89.cram	
PRJEB32839	SAMEA7225743	ERX10611239	ERR11178353	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/053/ERR11178353/ERR11178353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/053/ERR11178353/ERR11178353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178353/35101_2#90.cram	
PRJEB32839	SAMEA7225693	ERX10611240	ERR11178354	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/054/ERR11178354/ERR11178354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/054/ERR11178354/ERR11178354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178354/35207_2#1.cram	
PRJEB32839	SAMEA7225741	ERX10611241	ERR11178355	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/055/ERR11178355/ERR11178355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/055/ERR11178355/ERR11178355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178355/35207_2#2.cram	
PRJEB32839	SAMEA7225666	ERX10611242	ERR11178356	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/056/ERR11178356/ERR11178356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/056/ERR11178356/ERR11178356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178356/35207_2#3.cram	
PRJEB32839	SAMEA7225773	ERX10611243	ERR11178357	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/057/ERR11178357/ERR11178357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/057/ERR11178357/ERR11178357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178357/35207_2#4.cram	
PRJEB32839	SAMEA7225681	ERX10611244	ERR11178358	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/058/ERR11178358/ERR11178358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/058/ERR11178358/ERR11178358_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178358/35207_2#5.cram	
PRJEB32839	SAMEA7225789	ERX10611245	ERR11178359	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/059/ERR11178359/ERR11178359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/059/ERR11178359/ERR11178359_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178359/35207_2#6.cram	
PRJEB32839	SAMEA7225697	ERX10611246	ERR11178360	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/060/ERR11178360/ERR11178360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/060/ERR11178360/ERR11178360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178360/35207_2#7.cram	
PRJEB32839	SAMEA7225805	ERX10611247	ERR11178361	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/061/ERR11178361/ERR11178361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/061/ERR11178361/ERR11178361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178361/35207_2#8.cram	
PRJEB32839	SAMEA7225711	ERX10611248	ERR11178362	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/062/ERR11178362/ERR11178362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/062/ERR11178362/ERR11178362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178362/35207_2#9.cram	
PRJEB32839	SAMEA7225836	ERX10611249	ERR11178363	6188	Schistosoma rodhaini	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/063/ERR11178363/ERR11178363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/063/ERR11178363/ERR11178363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178363/35207_2#10.cram	
PRJEB32839	SAMEA7225745	ERX10611250	ERR11178364	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/064/ERR11178364/ERR11178364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/064/ERR11178364/ERR11178364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178364/35207_2#11.cram	
PRJEB32839	SAMEA7225759	ERX10611251	ERR11178365	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/065/ERR11178365/ERR11178365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/065/ERR11178365/ERR11178365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178365/35207_2#12.cram	
PRJEB32839	SAMEA7225663	ERX10611252	ERR11178366	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/066/ERR11178366/ERR11178366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/066/ERR11178366/ERR11178366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178366/35207_2#13.cram	
PRJEB32839	SAMEA7225775	ERX10611253	ERR11178367	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/067/ERR11178367/ERR11178367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/067/ERR11178367/ERR11178367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178367/35207_2#14.cram	
PRJEB32839	SAMEA7225682	ERX10611254	ERR11178368	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/068/ERR11178368/ERR11178368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/068/ERR11178368/ERR11178368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178368/35207_2#15.cram	
PRJEB32839	SAMEA7225790	ERX10611255	ERR11178369	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/069/ERR11178369/ERR11178369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/069/ERR11178369/ERR11178369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178369/35207_2#16.cram	
PRJEB32839	SAMEA7225696	ERX10611256	ERR11178370	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/070/ERR11178370/ERR11178370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/070/ERR11178370/ERR11178370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178370/35207_2#17.cram	
